address,reason,height,original_airdrop_amount,removed_liquidity,reported_time
sif1rtwtmtjhchpksasqukpd8lwuvtz74yzhw0aavm,removed_liquidity,3132520,327.997900813435,-3045.4848948910776,2021-09-09 19:56:26.892083+00:00
sif1ryzxg7a4znkdau6ne7k7xwwsfumqxntmug3353,removed_liquidity,3134083,327.997900813435,-6353.2581858241765,2021-09-09 19:56:27.015868+00:00
sif1s88a9t8fp02mcyxvhxesnapmlj9uqa3nqu4lrd,removed_liquidity,3170907,773.789626918998,-6774.412087001963,2021-09-09 19:56:27.139404+00:00
sif1sf5skllpwmcqp4hqe256d5e3esk9gvrxrc0nq7,removed_liquidity,3132746,9748.465925985998,-82421.53824004403,2021-09-09 19:56:27.263127+00:00
sif1svw5nmzdn3vjfcpyn3yvmlnyzpr3z2jrr8y6f7,removed_liquidity,3130824,445.791726105563,-3699.7874796106394,2021-09-09 19:56:27.386919+00:00
sif1t5yqsnkgk58fr30uhd6lq2cjmu0n6qwjv2avjx,removed_liquidity,3130832,445.791726105563,-3689.4789137781318,2021-09-09 19:56:27.510660+00:00
sif1sztw2slx766gny5vf84s2zvkgqeq26mqnx94fk,removed_liquidity,3133015,9748.465925985998,-7385.289722991318,2021-09-09 19:56:27.634228+00:00
sif1t7mr3t837v9jr97h63y5cfk0maduzzhgksju2f,removed_liquidity,3131432,445.791726105563,-3706.1764405625077,2021-09-09 19:56:27.758162+00:00
sif1tcr8yhu6hyp88v2tkyle9uglzw98x9pglrd96p,removed_liquidity,3215565,327.997900813435,-5383.184979853349,2021-09-09 19:56:27.881937+00:00
sif1tga8qsrw6tumc6gvrl375quhj2x46586t4sapq,removed_liquidity,3133548,327.997900813435,-3131.5730567328537,2021-09-09 19:56:28.005729+00:00
sif1the3q9s2eltpxhqer9xxpp7futfyrzcxar99u4,removed_liquidity,3180677,327.997900813435,-4232.523466478247,2021-09-09 19:56:28.129488+00:00
sif1tumy7vr2gaarm09049kjjapmdw0y6226f2h5j7,removed_liquidity,3137407,327.997900813435,-637.2689649914621,2021-09-09 19:56:28.254042+00:00
sif1ucawlmhd4nec6pr4v2u4r5lytglvgamr4x0rmx,removed_liquidity,3131376,445.791726105563,-3769.3709215755084,2021-09-09 19:56:28.377829+00:00
sif1ud26t8rhkzzsjvq8tzcal5crq0dhtx6sjqulss,removed_liquidity,3130874,445.791726105563,-3666.4305159856694,2021-09-09 19:56:28.501590+00:00
sif1v3ky86h2mrzanudrs5ca2csl8jkxy9fyfyk9az,removed_liquidity,3139448,327.997900813435,-4425.738095844179,2021-09-09 19:56:28.625495+00:00
sif1v4fu45fydv2kk9lcjdaqclp6ztatv4d804l7dr,removed_liquidity,3133979,327.997900813435,-3450.6570914978756,2021-09-09 19:56:28.749623+00:00
sif1v87hvg6y0uwy4g4nx99a58zf2cpgtt8ew0g4u6,removed_liquidity,3131486,445.791726105563,-3700.114526615688,2021-09-09 19:56:28.873814+00:00
sif1vk0zhlh8f9ytgm9c3xgvzutz75fjm0cy6gdk35,removed_liquidity,3186734,327.997900813435,-2954.530747669326,2021-09-09 19:56:28.997643+00:00
sif1vyhjkl6em2ed36xuw9cj7s3ztn3ltyethn4c4k,removed_liquidity,3217109,327.997900813435,-1651.1269402730393,2021-09-09 19:56:29.121234+00:00
sif1w579lpmyn3zvg9368vk88mlzg5ptgd24czrtl5,removed_liquidity,3138418,327.997900813435,-2575.7843317988554,2021-09-09 19:56:29.245129+00:00
sif1wcsne5h4r3e5gh2gn7kgrxh3zjf9cs83jahzl2,removed_liquidity,3131247,445.791726105563,-3761.29062723625,2021-09-09 19:56:29.369141+00:00
sif1wlvd8mauapgs85gz3qxuecvdw54sdxpfppwfgm,removed_liquidity,3140100,327.997900813435,-5780.862001023492,2021-09-09 19:56:29.492981+00:00
sif1wz2mvaq68xqa7jv5pruyz2jxgstqqyzeh6e8hu,removed_liquidity,3217100,327.997900813435,-1648.9108530035758,2021-09-09 19:56:29.616981+00:00
sif1wy5zkedvp30rpsc3h2hpgscp9ymjc4tzew03jz,removed_liquidity,3130752,445.791726105563,-3713.842964131809,2021-09-09 19:56:29.740732+00:00
sif1x83wjhsgt0gek8j3u6p2smjxtgt25gcqvczade,removed_liquidity,3154415,327.997900813435,-4393.233257150008,2021-09-09 19:56:29.864470+00:00
sif1x7j7qf279rsn77xz5grvuxuyvejnqgad9znykh,removed_liquidity,3131403,445.791726105563,-3713.9651766467887,2021-09-09 19:56:29.988310+00:00
sif1x7f5n5ed3hz28rwuvhw5tf5udrkshpp2us0ljg,removed_liquidity,3184393,327.997900813435,-3127.2994651409736,2021-09-09 19:56:30.112083+00:00
sif1xe3sr6n2906kwpzl0t8hppy5x2wdhx9lugjvl2,removed_liquidity,3186709,327.997900813435,-2948.173745596697,2021-09-09 19:56:30.236495+00:00
sif1xjdzrpk70q3aq9c2tml5rzhf3jn24fzt84lrtq,removed_liquidity,3131441,445.791726105563,-3702.3283553474175,2021-09-09 19:56:30.360277+00:00
sif1xtq9y4m4vdlv2meuutxqm3e7t5s05j96lvq0wq,removed_liquidity,3164275,327.997900813435,-13363.79944564107,2021-09-09 19:56:30.483835+00:00
sif1zckjf876rd8vhlf58uet20d5zcx7ww6sjm6lu0,removed_liquidity,3131291,445.791726105563,-3766.4189365243446,2021-09-09 19:56:30.607558+00:00
sif1zss3407wtcl7tfgdy52687hds5w0hcqfct4kd2,removed_liquidity,3131831,327.997900813435,-3014.021268855179,2021-09-09 19:56:30.731191+00:00
sif1zxdgf462yj3deekj4tlzf6vj578lqz8qeehnd8,removed_liquidity,3135257,724.560682394591,-10274.759394853547,2021-09-09 19:56:30.854948+00:00
